region;lat;lon
Abruzzo;42.227681;13.854983
Aconcagua;-29.8701135;-71.2389706
Alentejo;38.0551003;-7.8605799
Alsace;50.7007285;3.160983
Aragon;41.3787291;-0.7639373
Australia;-24.7761086;134.755
Austria;47.59397;14.12456
Basilicata;40.500571;16.081953
Beaujolais;46.0816846;4.4352301
Bordeaux;44.841225;-0.5800364
Bourgogne;49.3555104;4.0681417
Bulgaria;42.6073975;25.4856617
Burgundy;47.25;4.16667
California;36.7014631;-118.755997
Campania;40.860672;14.843984
Castilla Y León;41.55005;-5.1387401
Castilla-La Mancha;39.4177902;-2.6232332
Catalunya;41.8523094;1.5745043
Central Otago;-45.350509;169.696148
Central Valley;38;-121.4
Chile;-31.7613365;-71.3187697
Coastal;27.059008;-82.0884076
Constantia;-34.0283333;18.4155556
Corsica;42.1880896;9.0684138
Dao;40.6325442;-8.6591642
Dordogne;45.1429198;0.6321258
Douro;41.1353822;-7.1175681
Elgin;-34.1486111;19.0427778
Franschhoek;-33.909167;19.119444
Galicia;42.61946;7.863112
Georgia;41.6934591;44.8014495
Germany;51.1638175;10.4478313
Gisborne;-38.661326;178.0206487
Greece;38.9953683;21.9877132
Hampshire;51.0449814;-1.2433133
Hawkes Bay;-43.8345039;169.8589675
Hungary;47.1817585;19.5060937
Italy;42.6384261;12.674297
Jura & Savoie;46.7833625;5.7832857
Kent;51.2070748;0.7210362
Kvareli;41.9482236;45.8139601
La Rioja;42.3285528;-2.4674917
Languedoc-Roussillon;43.6209286;3.8681004
Le Marche;45.7076063;12.3610092
Lebanon;33.8750629;35.843409
Limoux;43.0538068;2.2176533
Lisboa;38.7077507;-9.1365919
Loire;45.7538536;4.0454737
Lombardy;45.5703694;9.7732524
Marlborough;-22.7896625;149.8135098
Martinborough;-41.2183252;175.4594856
Mendoza;-34.787093;-68.4381868
Moldova;47.2879608;28.5670941
Nelson;-41.2710849;173.2836756
New South Wales;-31.8759835;147.2869493
North;-30;-71
Oregon;43.9792797;-120.737257
Other France;46.603354;1.8883335
Península De Setúbal;38.436738;-8.8356398
Piedmont;45.060735;7.923549
Prosecco Doc;46;13
Prosecco Docg;45.89689;11.98245
Provence;44.0580563;6.0638506
Puglia;40.9842539;16.6210027
Rhône;45.6113382;5.6322327
Rioja And Navarra;42.8233;-1.65138
Robertson;-33.802222;19.883611
Romania;45.9852129;24.6859225
San Juan;-30.7054363;-69.1988222
Sardinia;40.0912813;9.0305773
Serbia;44.1534121;20.55144
Sicily;37.587794;14.155048
Slovenia;46.1199444;14.8153333
South Australia;-30.5343665;135.6301212
South East Australia;-34.9199476;138.6065332
Stellenbosch;-33.934444;18.869167
Surrey;51.2715316;-0.3414524
Sussex;50.9445845;-0.5278477
Sw France (Ec. Boredeaux);46;2
Swartland;-33.29356;18.5993825
Tasmania;-42.035067;146.6366887
Tejo;38.7617281;-9.0936239
Trentino Alto Adige;46.441472;11.282121
Tuscany;43.4586541;11.1389204
Usa;39.7837304;-100.445882
Valencia And Murcia;39.4697065;-0.3763353
Veneto;45.6476663;11.8665254
Victoria;-36.5986096;144.6780052
Vinho Verde;41.0674998;-8.2372694
Waipara;-44.3042729;168.6818518
Walker Bay;-34.518515;19.2880206
Washington State;47.2868352;-120.212613
Western Australia;-25.2303005;121.0187246
Western Cape;-33.546977;20.72753
